trial,seed,pattern,arrival_horizon,domain,length,repairpersons,corresponding_even_full_line_k,requests,total_completion_time,mean_completion_time,total_flow_time,mean_flow_time,max_flow_time,makespan,total_distance_until_last_completion,sum_individual_lower_bounds,online_over_lower_bound,max_request_over_lower_bound,mean_request_over_lower_bound,zero_lower_bound_requests,paper_claimed_halfline_bound,paper_bound_check_applicable,observed_bound_violation,computed_trajectory_legs,offline_status,offline_optimum,empirical_ratio_to_optimum
7,14,uniform,100,"[0, length]",100.0,1,2,100,13968.036822752449,139.6803682275245,9298.036822752449,92.98036822752448,289.28542275498955,292.97429542847885,292.97429542847885,6218.901833765953,2.246061635337615,3.7018398276149562,2.2113923629900474,0,3.732050807568877,True,False,10,not requested,,
7,14,uniform,100,"[0, length]",100.0,2,4,100,10013.564508166432,100.13564508166432,5343.564508166432,53.43564508166432,167.862006102561,171.55087877605033,343.10175755210065,6218.901833765953,1.6101821150797233,2.108152903583319,1.6013730578545313,0,2.142857142857143,True,False,33,not requested,,
7,14,uniform,100,"[0, length]",100.0,3,6,100,8410.922416396408,84.10922416396409,3740.9224163964077,37.409224163964076,137.62391086446576,141.31278353795508,423.9383506138653,6218.901833765953,1.3524771159320654,1.6429514383818535,1.3478825420964702,0,2,True,False,51,not requested,,
7,14,uniform,100,"[0, length]",100.0,4,8,100,7923.36655517336,79.23366555173361,3253.3665551733607,32.533665551733606,125.1729304723089,139.9100843843687,549.6126060942826,6218.901833765953,1.2740780875737416,1.742215680226911,1.276522229874075,0,2,True,False,71,not requested,,
7,14,uniform,100,"[0, length]",100.0,5,10,100,7492.77384553586,74.92773845535861,2822.77384553586,28.227738455358597,118.38148662204152,133.45310766186913,656.9033397383855,6218.901833765953,1.2048387393499818,1.4513883519836042,1.2032375284606103,0,2,True,False,90,not requested,,
8,15,uniform,100,"[0, length]",100.0,1,2,100,15159.926537743348,151.59926537743348,9777.926537743348,97.77926537743348,281.44479467841484,293.9764686404691,293.9764686404691,6900.251566305206,2.1970107020113834,3.681307329294683,2.1612237715493325,0,3.732050807568877,True,False,10,not requested,,
8,15,uniform,100,"[0, length]",100.0,2,4,100,10695.632635008715,106.95632635008715,5313.632635008716,53.13632635008716,160.0213780259863,172.5530519880405,345.106103976081,6900.251566305206,1.5500351736792946,2.0729205152619437,1.5580320827513308,0,2.142857142857143,True,False,33,not requested,,
8,15,uniform,100,"[0, length]",100.0,3,6,100,9186.089314096384,91.86089314096384,3804.089314096383,38.04089314096383,129.78328278789107,142.31495674994525,426.94487024983573,6900.251566305206,1.3312687553238218,1.7215089304178572,1.3359605268898769,0,2,True,False,51,not requested,,
8,15,uniform,100,"[0, length]",100.0,4,8,100,8851.866356249495,88.51866356249495,3469.8663562494944,34.69866356249494,117.33230239573422,148.8501129749728,576.4326918660948,6900.251566305206,1.2828324114260223,1.6522698228811052,1.274278595239791,0,2,True,False,71,not requested,,
8,15,uniform,100,"[0, length]",100.0,5,10,100,8475.553973609836,84.75553973609836,3093.5539736098353,30.935539736098352,110.54085854546685,143.8577907092193,698.5220719277863,6900.251566305206,1.2282963732796395,1.7787103431227798,1.2222814908377517,0,2,True,False,90,not requested,,
9,16,uniform,100,"[0, length]",100.0,1,2,100,14455.03655319501,144.5503655319501,9849.03655319501,98.4903655319501,282.05254887293273,293.3192368471921,293.3192368471921,6576.263571043958,2.1980622274390265,3.700487214833135,2.1775863591703724,0,3.732050807568877,True,False,10,not requested,,
9,16,uniform,100,"[0, length]",100.0,2,4,100,10565.865029539698,105.65865029539698,5959.865029539698,59.598650295396986,160.62913222050418,171.89582019476353,343.79164038952706,6576.263571043958,1.6066669036901764,2.1323309677742275,1.6101995853339799,0,2.142857142857143,True,False,33,not requested,,
9,16,uniform,100,"[0, length]",100.0,3,6,100,8985.658803398046,89.85658803398046,4379.658803398046,43.79658803398046,130.39103698240893,141.6577249566683,424.97317487000487,6576.263571043958,1.3663775343438076,1.8610755749415098,1.3702909593172916,0,2,True,False,51,not requested,,
9,16,uniform,100,"[0, length]",100.0,4,8,100,8502.340847528143,85.02340847528143,3896.3408475281435,38.96340847528143,117.94005659025207,150.5671157132194,581.5837000808347,6576.263571043958,1.292883223988303,1.8820889464152426,1.2869042688631833,0,2,True,False,71,not requested,,
9,16,uniform,100,"[0, length]",100.0,5,10,100,8087.7882438174465,80.87788243817447,3481.788243817447,34.81788243817447,111.1486127399847,134.822485359895,662.3808505304892,6576.263571043958,1.2298455127967962,1.8542716703430437,1.2296230234880254,0,2,True,False,90,not requested,,
