trial,seed,pattern,arrival_horizon,domain,length,repairpersons,corresponding_even_full_line_k,requests,total_completion_time,mean_completion_time,total_flow_time,mean_flow_time,max_flow_time,makespan,total_distance_until_last_completion,sum_individual_lower_bounds,online_over_lower_bound,max_request_over_lower_bound,mean_request_over_lower_bound,zero_lower_bound_requests,paper_claimed_halfline_bound,paper_bound_check_applicable,observed_bound_violation,computed_trajectory_legs,offline_status,offline_optimum,empirical_ratio_to_optimum
6,13,uniform,100,"[0, length]",100.0,2,4,8,885.7409209428338,110.71761511785422,443.7409209428337,55.467615117854216,114.77240130027599,157.15048895748095,314.3009779149619,536.8757498402072,1.6498061631698973,2.1322352300457954,1.6245436776441775,0,2.142857142857143,True,False,33,exact (floating-point arithmetic),549.637555340039,1.6115000009321798
6,13,uniform,100,"[0, length]",100.0,3,6,8,749.9916196798575,93.74895245998219,307.9916196798576,38.4989524599822,84.53430606218073,129.70099129033042,389.10297387099126,536.8757498402072,1.39695566414218,1.660470550860047,1.371197598241904,0,2,True,False,50,exact (floating-point arithmetic),538.8334049559896,1.3918803340359247
6,13,uniform,100,"[0, length]",100.0,4,8,8,668.1947024554388,83.52433780692985,226.19470245543886,28.274337806929857,72.0833256700239,114.46141332722885,457.8456533089154,536.8757498402072,1.2445984059706863,1.4662145064894452,1.2307331308314498,0,2,True,False,71,exact (floating-point arithmetic),536.8757498402072,1.2445984059706863
7,14,uniform,100,"[0, length]",100.0,1,2,8,777.090722382514,97.13634029781424,493.090722382514,61.63634029781425,108.82576393754073,117.82576393754073,117.82576393754073,409.44633825110367,1.8979061473641579,2.9725814093526695,2.106640055955433,0,3.732050807568877,True,False,8,exact (floating-point arithmetic),442.2935291872949,1.7569570231117826
7,14,uniform,100,"[0, length]",100.0,2,4,8,667.530339759963,83.44129246999537,383.530339759963,47.941292469995375,129.41643039543615,138.41643039543615,276.8328607908723,409.44633825110367,1.6303243609681095,2.1021554645164957,1.6227742520400303,0,2.142857142857143,True,False,33,exact (floating-point arithmetic),410.4364158948912,1.6263916014969566
7,14,uniform,100,"[0, length]",100.0,3,6,8,539.9112921409154,67.48891151761443,255.91129214091535,31.98891151761442,99.1783351573409,108.1783351573409,324.5350054720227,409.44633825110367,1.3186374909275673,1.6429240209679554,1.3242651855068317,0,2,True,False,51,exact (floating-point arithmetic),409.4463382511036,1.3186374909275675
7,14,uniform,100,"[0, length]",100.0,4,8,8,532.1858019448371,66.52322524310463,248.185801944837,31.023225243104626,86.72735476518406,139.9100843843687,549.6126060942826,409.44633825110367,1.299769352482181,1.457396712337174,1.259713658110809,0,2,True,False,71,exact (floating-point arithmetic),409.4463382511036,1.2997693524821812
8,15,uniform,100,"[0, length]",100.0,1,2,8,1019.0079701511008,127.3759962688876,570.0079701511008,71.2509962688876,205.97646864046908,293.9764686404691,293.9764686404691,477.0286222892598,2.1361568730632614,2.9403050140074534,2.0072980213480442,0,3.732050807568877,True,False,10,exact (floating-point arithmetic),728.6206800742764,1.3985438486967212
8,15,uniform,100,"[0, length]",100.0,2,4,8,738.3734082094895,92.29667602618619,289.3734082094895,36.17167602618619,84.5530519880405,172.5530519880405,345.106103976081,477.0286222892598,1.5478597587415959,2.024738905570324,1.6243489544717828,0,2.142857142857143,True,False,33,exact (floating-point arithmetic),491.1607315903941,1.5033233740380931
8,15,uniform,100,"[0, length]",100.0,3,6,8,627.7098630086363,78.46373287607953,178.70986300863626,22.338732876079533,54.31495674994525,142.31495674994525,426.94487024983573,477.0286222892598,1.3158746324198691,1.7215089304178572,1.3441377228880214,0,2,True,False,51,exact (floating-point arithmetic),477.0286222892598,1.3158746324198691
